id,name,type,status,day,month,year,manufacturer,manufacturer_abbr,user,user_abbr,proof,year_first_produced,directproof,fulldate
1,T-54-3M,Tanks,destroyed,18.0,2.0,24.0,Soviet Union,USSR,Russia,RU,https://postimg.cc/zBC4NPVv,,https://i.postimg.cc/zBC4NPVv/1032-unkn-t55-destr-18-02-24.jpg,18/2/2024
2,T-54-3M,Tanks,damaged and abandoned,21.0,2.0,24.0,Soviet Union,USSR,Russia,RU,https://postimg.cc/s29RHpfN,,https://i.postimg.cc/s29RHpfN/1036-T-54-3-M-dam-aband-21-02-24.jpg,21/2/2024
3,T-54B,Tanks,destroyed,5.0,3.0,24.0,Soviet Union,USSR,Russia,RU,https://postimg.cc/02ZtkYNd,,https://i.postimg.cc/02ZtkYNd/1020-T-54-B-destr-05-03-24.jpg,5/3/2024
4,T-54B,Tanks,destroyed,17.0,8.0,24.0,Soviet Union,USSR,Russia,RU,https://postimg.cc/Z5SDNYNS,,https://i.postimg.cc/Z5SDNYNS/1103-T-54-B-destr-17-08-24.jpg,17/8/2024
5,T-55A,Tanks,destroyed,,,,Soviet Union,USSR,Russia,RU,https://twitter.com/bayraktar_1love/status/1754060409693163926,1963.0,https://twitter.com/bayraktar_1love/status/1754060409693163926,
6,T-55A,Tanks,destroyed,9.0,5.0,24.0,Soviet Union,USSR,Russia,RU,https://postimg.cc/rsGYFggv,1963.0,https://i.postimg.cc/rsGYFggv/1009-T-55-A-destr-09-05-24.jpg,9/5/2024
7,T-55A,Tanks,damaged,5.0,8.0,23.0,Soviet Union,USSR,Russia,RU,https://postimg.cc/jdFBJdQb,1963.0,https://i.postimg.cc/jdFBJdQb/1027-t55-dam-05-08-23.jpg,5/8/2023
8,T-55A Obr. 1981,Tanks,destroyed,15.0,9.0,24.0,Soviet Union,USSR,Russia,RU,https://postimg.cc/d0yGQ3Qk,,https://i.postimg.cc/d0yGQ3Qk/1018-T-55-A-Obr-1981-destr-15-09-24.jpg,15/9/2024
9,Unknown T-54/55,Tanks,destroyed,,,,Soviet Union,USSR,Russia,RU,https://twitter.com/CalibreObscura/status/1670510694838546436,1946.0,https://twitter.com/CalibreObscura/status/1670510694838546436,
10,Unknown T-54/55,Tanks,destroyed,28.0,3.0,24.0,Soviet Union,USSR,Russia,RU,https://postimg.cc/3RPYPYV5,1946.0,https://i.postimg.cc/3RPYPYV5/1006-unkn-t55-destr-28-03-24.jpg,28/3/2024
